client_reference,full_customer_name,contact_email,transaction_ref,item_reference,transaction_date,amount_paid,payment_status,delivery_status,customer_segment,region,product_line,quantity_ordered,unit_cost,total_value,discount_applied,shipping_fee,tax_amount,notes_comments,last_modified_timestamp
CLI_0293,Bob Wilson,reconcile1@test.com,TXN_00479,ITM_052,9/17/2023,941.45,PENDING,PENDING,PREMIUM,NORTH,FASHION,10,95.15,627.07,16.22,28.66,44.36,,2023-08-09T18:30:00.000Z
CLI_0383,Bob Wilson,reconcile2@test.com,TXN_00862,ITM_148,3/20/2023,767.53,FAILED,IN_TRANSIT,STANDARD,SOUTH,BOOKS,2,69.30,614.99,9.91,20.37,23.59,Additional processing required,2023-09-27T18:30:00.000Z
CLI_0335,John Smith,reconcile3@test.com,TXN_00973,ITM_156,3/28/2023,426.61,COMPLETED,PENDING,PREMIUM,WEST,ELECTRONICS,6,126.54,505.23,62.87,26.35,44.88,Additional processing required,2023-02-18T18:30:00.000Z
CLI_0267,Jane Doe,reconcile4@test.com,TXN_00735,ITM_080,9/12/2023,337.69,PENDING,DELIVERED,PREMIUM,EAST,HOME,3,125.38,118.81,39.89,14.66,22.76,,2023-05-10T18:30:00.000Z
CLI_0275,Jane Doe,reconcile5@test.com,TXN_00753,ITM_017,3/8/2023,911.64,FAILED,DELIVERED,PREMIUM,NORTH,ELECTRONICS,6,293.91,149.70,52.23,25.15,29.58,,2022-12-31T18:30:00.000Z
CLI_0341,Bob Wilson,reconcile6@test.com,TXN_00896,ITM_112,12/19/2023,591.67,PENDING,DELIVERED,VIP,WEST,FASHION,5,43.96,440.71,95.27,15.72,24.07,Additional processing required,2023-12-11T18:30:00.000Z
CLI_0301,Bob Wilson,reconcile7@test.com,TXN_00106,ITM_188,5/15/2023,437.26,PENDING,DELIVERED,VIP,EAST,ELECTRONICS,3,51.57,468.42,74.18,14.29,27.53,Additional processing required,2023-05-01T18:30:00.000Z
CLI_0049,Alice Johnson,reconcile8@test.com,TXN_00629,ITM_100,8/4/2023,858.07,FAILED,PENDING,VIP,EAST,BOOKS,5,274.94,115.07,46.02,7.43,16.89,,2023-11-03T18:30:00.000Z
CLI_0085,Alice Johnson,reconcile9@test.com,TXN_00981,ITM_172,11/14/2023,121.27,COMPLETED,DELIVERED,STANDARD,NORTH,ELECTRONICS,3,33.82,185.84,47.13,12.50,43.66,Additional processing required,2023-04-22T18:30:00.000Z
CLI_0444,Bob Wilson,reconcile10@test.com,TXN_00961,ITM_184,6/11/2023,671.40,FAILED,IN_TRANSIT,VIP,SOUTH,BOOKS,4,248.36,481.32,35.45,28.48,8.07,,2023-11-01T18:30:00.000Z
CLI_0227,Alice Johnson,reconcile11@test.com,TXN_00965,ITM_152,12/15/2023,454.40,PENDING,PENDING,PREMIUM,SOUTH,HOME,6,152.16,140.62,70.60,14.38,25.53,,2023-11-09T18:30:00.000Z
