order_id,ord_id,customer_id,cust_id,order_date,order_datetime,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,order_status,payment_method,shipping_address,notes,tracking_number,,,,
ORD_00001,1,109,CUST_0109,,2023-10-09T02:35:00.000Z,PROD_165,63,6,4,395.69,294.62,996.85,710.25,17.2,6.83,48.89,returned,SHIPPED,cash,608 Oak Ave,,TRK769590,,,,
ORD_00002,2,279,CUST_0279,1/26/2023,,PROD_154,186,7,1,249.31,189.3,1017.36,63.82,16.11,17.13,10.09,,CANCELLED,bank_transfer,5636 Main St,,TRK965629,,,,
ORD_00003,3,6,CUST_0006,,2023-12-12T14:59:00.000Z,PROD_070,115,1,4,209.5,394.57,155.16,656.66,24.84,7.46,0,CANCELLED,CANCELLED,debit_card,7410 Oak Ave,,TRK280164,,,,
ORD_00004,4,248,CUST_0248,7/17/2023,2023-10-13T16:44:00.000Z,PROD_102,182,9,3,422.72,77.81,556.19,118.88,14.14,41.12,0,SHIPPED,,credit_card,4492 Oak Ave,,,,,,
ORD_00005,5,353,CUST_0353,8/23/2023,2023-09-09T04:55:00.000Z,PROD_197,145,4,1,230.35,406.58,245.68,246.92,6.45,14.05,0,returned,SHIPPED,paypal,8501 Pine Rd,,TRK710064,,,,
ORD_00006,6,348,CUST_0348,9/21/2023,2023-04-23T19:48:00.000Z,PROD_081,120,8,3,239.7,109.53,278.15,246.48,15.8,23.75,24.56,pending,CANCELLED,credit_card,107 Main St,Special delivery instructions,,,,,
ORD_00007,7,361,CUST_0361,10/21/2023,2023-09-06T08:44:00.000Z,PROD_066,143,8,5,85.51,30.11,872.26,595.77,0,9.9,0,returned,,paypal,6350 Oak Ave,Special delivery instructions,,,,,
ORD_00008,8,422,CUST_0422,11-08-2023,2023-08-01T18:43:00.000Z,PROD_152,68,5,4,440.05,373.83,176.83,224.4,0,15.28,0,CANCELLED,returned,credit_card,1584 Main St,,,,,,
ORD_00009,9,426,CUST_0426,21-09-2023,2023-04-28T11:46:00.000Z,PROD_123,190,8,3,378.05,284.38,82.81,375.07,0,37.74,0,delivered,CANCELLED,bank_transfer,9660 Oak Ave,,TRK695157,,,,
ORD_00010,10,8,CUST_0008,1/19/2023,,PROD_148,48,5,2,287.86,168.08,222.44,456.51,23.16,48.77,47.73,CANCELLED,delivered,paypal,4685 Main St,Special delivery instructions,,,,,
ORD_00011,11,185,CUST_0185,20-07-2023,2023-09-26T06:03:00.000Z,PROD_096,138,4,1,197.24,39.49,307.5,517.69,14.34,28.2,0,returned,returned,debit_card,5957 Oak Ave,,,,,,
ORD_00012,12,107,CUST_0107,,,PROD_115,72,1,3,92.71,276.63,979.41,536.57,13.92,11.15,0,CANCELLED,delivered,paypal,1182 Oak Ave,Special delivery instructions,TRK956166,,,,
ORD_00013,13,259,CUST_0259,10-03-2023,2023-03-19T10:24:00.000Z,PROD_142,77,4,4,100.6,398.25,674.01,114.13,15.33,28.14,2.52,,pending,bank_transfer,1950 Pine Rd,,TRK730540,,,,
ORD_00014,14,112,CUST_0112,,2023-10-24T22:38:00.000Z,PROD_194,166,9,2,236.28,361.82,652.29,552.31,8.64,50.77,0,delivered,,credit_card,3880 Oak Ave,Special delivery instructions,,,,,
ORD_00015,15,20,CUST_0020,02-03-2023,2023-10-12T06:04:00.000Z,PROD_086,138,2,2,376.66,131.82,414.86,66.55,10.79,15.15,0,returned,returned,bank_transfer,9514 Main St,,TRK836622,,,,
ORD_00016,16,177,CUST_0177,4/22/2023,,PROD_081,16,10,4,144.06,186.28,458.14,123.51,0,26.69,0,CANCELLED,delivered,paypal,702 Main St,Special delivery instructions,TRK409258,,,,
ORD_00017,17,460,CUST_0460,12/20/2023,2023-06-26T03:01:00.000Z,PROD_156,182,10,1,402.47,307.66,115.99,169.64,0,25.28,0,processing,processing,bank_transfer,340 Main St,,,,,,
ORD_00018,18,349,CUST_0349,18-09-2023,2023-04-17T12:03:00.000Z,PROD_019,180,1,1,94.5,380.51,321.43,219.14,9.17,16.72,0,SHIPPED,processing,credit_card,8161 Main St,,TRK719946,,,,
ORD_00019,19,421,CUST_0421,11-08-2023,2023-12-09T12:14:00.000Z,PROD_007,78,3,5,259.96,340.87,416.32,565.76,11.37,13.53,0,processing,CANCELLED,bank_transfer,8491 Oak Ave,Special delivery instructions,TRK608336,,,,
ORD_00020,20,255,CUST_0255,3/26/2023,,PROD_045,161,6,4,392.81,147.04,110.07,478.62,14.13,40.83,0,pending,returned,debit_card,4733 Main St,,,,,,
